car_id,car_make,car_model,car_year,car_vin,car_color
1,Ford,Focus,2010,3D7TP2CT8AG527362,Teal
2,Ford,Club Wagon,1992,1G6KY54921U910950,Goldenrod
3,Ford,Windstar,2004,WAUUL58E45A922114,Orange
4,Mitsubishi,Mighty Max Macro,1992,4A31K3DT2AE038562,Crimson
5,Plymouth,Voyager,1994,2C3CA7CW5AH298632,Turquoise
6,Volvo,XC90,2010,1G6EL12Y91B540932,Yellow
7,Buick,Rainier,2004,1N6AF0KY6FN977478,Turquoise
8,Buick,Century,2002,3VW4T7AT4EM520973,Aquamarine
9,Bentley,Arnage,2006,SCFFDAAE9BG589351,Mauv
10,Chrysler,Sebring,1998,KM8JT3AF6FU226587,Orange
11,Ford,Taurus,2012,WVWAP7AN4DE826300,Indigo
12,Ford,Aspire,1997,ZFF60FCA7A0266314,Fuscia
13,Pontiac,Trans Sport,1992,WAUNF98P87A676739,Indigo
14,Volkswagen,Cabriolet,1988,1FTEW1E85AK009000,Puce
15,Chevrolet,Blazer,2004,1G6KD57Y79U600450,Red
16,Buick,Rainier,2006,WAUFFAFL8CN132542,Crimson
17,Aston Martin,Vantage,2011,WVWED7AJXCW882418,Crimson
18,Mazda,Miata MX-5,1992,1N6AA0EJ6FN054690,Pink
19,Honda,CR-V,2010,5GNRNJEE4A8828980,Purple
20,Ford,Flex,2012,1GYS3DEF0ER188715,Maroon
21,Suzuki,Sidekick,1993,WAUCF78K29N242098,Violet
22,Chevrolet,Impala,2003,1NXBU4EE5AZ537266,Violet
23,GMC,Rally Wagon 3500,1992,TRUUT28N061759874,Mauv
24,Ford,Escort,1999,WDDGF5EB1BR807653,Aquamarine
25,Dodge,Avenger,2009,WBAKP9C56FD918804,Aquamarine
26,Volvo,XC70,2006,5TDDK3DC7BS710157,Teal
27,Audi,90,1988,1N4AL2EP9DC774349,Aquamarine
28,Pontiac,6000,1985,1G6YV36A975404081,Purple
29,Buick,Park Avenue,1993,JM1NC2JF1E0679571,Aquamarine
30,Plymouth,Acclaim,1992,2B3CJ5DT9BH755188,Violet
31,Mercedes-Benz,W201,1986,1B3CB1HA7BD046531,Blue
32,Audi,A3,2006,JN1BJ0HP3FM548862,Fuscia
33,Toyota,Avalon,2005,ZFBCFABH6EZ383131,Pink
34,Mazda,MPV,1989,YV1612FH7D2482776,Khaki
35,GMC,Envoy XL,2005,1G6AC1R35F0776800,Aquamarine
36,Dodge,Grand Caravan,2000,5J6TF1H35FL942515,Purple
37,Lotus,Esprit,2003,WBALM7C58BE264720,Pink
38,Dodge,Magnum,2006,WAUFMBFC3EN673495,Violet
39,Jeep,Grand Cherokee,1998,1FTNS2EW8AD858610,Orange
40,Ford,Aerostar,1992,4A4JM2AS3BE360155,Goldenrod
41,Acura,RL,2008,5TFCY5F19CX770258,Puce
42,GMC,Sierra 1500,2008,WA1DGAFE9BD757359,Red
43,Audi,A8,2006,YV1622FS6C2955607,Indigo
44,BMW,8 Series,1992,WVWAP7ANXDE882905,Goldenrod
45,Nissan,Titan,2010,SCBZB25E32C855524,Maroon
46,Mazda,B-Series,2005,WUAAU34278N410267,Yellow
47,Infiniti,G35,2006,WVWAA7AJXBW560853,Green
48,Saab,900,1996,WP0AA2A89FK535889,Maroon
49,Chevrolet,Monte Carlo,2002,WBA3T7C55FP945222,Yellow
50,GMC,Sierra 1500,2010,2G61P5S33D9357126,Mauv
51,Lincoln,Town Car,1994,2C3CCAAG5EH895742,Crimson
52,Acura,SLX,1998,WA1MYAFE8AD880999,Puce
53,Bentley,Continental Super,2010,JTEBU5JR9D5276916,Orange
54,Mazda,MX-6,1996,WBAUP9C53DV339334,Orange
55,GMC,Safari,2003,WBAFZ9C52DC526448,Crimson
56,Dodge,Stratus,2005,1C4RDJDG1DC838602,Purple
57,Lincoln,Mark LT,2008,WBAVM5C52EV618295,Goldenrod
58,GMC,Vandura G3500,1996,1N4AB7AP9DN896574,Teal
59,Chevrolet,Silverado 3500,2005,WBASP2C5XDC209996,Turquoise
60,Pontiac,Vibe,2003,3C63DPNL9CG777541,Crimson
61,Lexus,LS Hybrid,2010,1D7RW3BKXBS183832,Pink
62,Mercury,Grand Marquis,1996,WAUHFBFL0AN625806,Maroon
63,Buick,LeSabre,1995,1D7RE3BK3BS821129,Khaki
